ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
639067932,23237369,,,Gateway Business Park,,,,Business Park,,Old Wellington Road,,,,at,,S,ES000814,Cove Bay,Aberdeen,,Aberdeen,,Cove,,0,UKOS,393650,800127,-2.106419,57.092081,BCT,CUS,OTH,,,,111,2011-05-31T07:29:00.000,2013-03-25T11:37:00.000,2,revise,inactive
639067951,23237434,,,Auldearn Place,,,,Auldearn Place,,Kincorth Circle,,,,adj,,W,ES002091,Kincorth,Aberdeen,,Aberdeen,,Kincorth,,1,UKOS,393589,803194,-2.107505,57.119631,BCT,MKD,OTH,,,,111,2012-08-29T15:50:00.000,2021-10-15T12:22:33.149,4,revise,inactive
639067961,23237456,,,Academy,,,,Academy,,Groats Road,,,,at,,NW,ES001740,Hazlehead,Aberdeen,,,,Hazlehead,,0,UKOS,389407,805834,-2.17668,57.143268,BCT,CUS,OTH,,,,111,2013-02-21T09:25:00.000,2013-02-21T09:28:00.000,1,revise,active
639067962,23237457,,,Academy,,,,Academy,,Groats Road,,,,opp,,SE,ES001740,Hazlehead,Aberdeen,,,,Hazelhead,,0,UKOS,389421,805827,-2.176448,57.143205,BCT,CUS,OTH,,,,111,2013-02-21T09:27:00.000,2013-02-21T09:27:00.000,1,revise,active
639070011,23236985,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 1,,,ES000011,Aberdeen,,,Aberdeen,,City Cenre,,1,UKOS,394272,805976,-2.096291,57.144631,BCS,,PPT,,,,111,2007-05-04T13:01:00.000,2024-01-05T17:41:31.960,6,revise,inactive
639070021,23234592,,,Union Square Bus Station,,,,Bus Station Stance 1,,Guild Street,,,,Stance 1,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394269,805969,-2.096342,57.144566,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2024-01-08T10:54:00.995,12,revise,active
639070031,23234576,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 3,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394279,805966,-2.096176,57.144541,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:12:00.000,5,revise,active
639070041,23234589,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 4,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394282,805962,-2.096126,57.144506,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:14:00.000,6,revise,active
639070051,23234583,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 5,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394285,805957,-2.096076,57.144461,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:14:00.000,8,revise,active
639070061,23234584,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 6,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394289,805952,-2.09601,57.144416,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:14:00.000,8,revise,active
639070071,23234585,,,Union Square Bus Station,,,,Bus Station,,Guild Street,,,,Stance 7,,,ES000011,Aberdeen,,,Aberdeen,,City Centre,,1,UKOS,394292,805947,-2.09596,57.144371,BCS,,PPT,,,,111,2003-07-25T00:00:00.000,2009-11-05T12:15:00.000,8,revise,active
